participant_index,stimulus_index,stimulus_type,response_time,tails.0,tails.1,tails.2,tails.3,tails.4,tails.5,tails.6,tails.7,X.2,heads.0,heads.1,heads.2,heads.3,heads.4,heads.5,heads.6,heads.7,X.0,X.1,test.1,mod.0,test.0,mod.7,mod.1,mod.4,mod.3,test.2,mod.6,mod.5,mod.2,prob.1,prob.0,prob.3,prob.2,prob.5,prob.4,prob.7,prob.6
83,1,chickens,,41,1,30,37,49,13,45,53,,59,99,70,63,51,87,55,47,,,,0,,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
83,0,pretest,,,,,,,,,,0,,,,,,,,,50,100,0,0,0,,0,,,0,,,0,,,,,,,,
50,1,chickens,,41,30,37,49,1,13,45,53,,59,70,63,51,99,87,55,47,,,,1,,1,1,1,1,,1,1,1,70,15,0,60,100,100,0,0
50,0,pretest,,,,,,,,,,0,,,,,,,,,50,100,100,1,50,,1,,,0,,,1,,,,,,,,
15,1,psychic,,37,49,30,41,1,13,45,53,,63,51,70,59,99,87,55,47,,,,1,,1,1,1,1,,1,1,1,6,65,4,69,77,96,1,4
15,0,pretest,,,,,,,,,,0,,,,,,,,,50,100,100,1,50,,1,,,0,,,1,,,,,,,,
56,1,chickens,,41,49,53,13,1,37,30,45,,59,51,47,87,99,63,70,55,,,,1,,1,1,1,1,,1,1,1,0,40,95,6,58,95,7,70
56,0,pretest,,,,,,,,,,0,,,,,,,,,50,100,100,1,50,,1,,,0,,,1,,,,,,,,
68,1,chickens,,13,53,1,45,37,41,49,30,,87,47,99,55,63,59,51,70,,,,1,,1,1,1,1,,1,1,1,0,70,0,100,10,20,20,0
68,0,pretest,,,,,,,,,,0,,,,,,,,,50,100,100,1,50,,1,,,0,,,1,,,,,,,,
101,1,chickens,,49,45,13,41,30,37,53,1,,51,55,87,59,70,63,47,99,,,,1,,1,1,1,1,,1,1,1,55,57,54,26,28,29,1,53
101,0,pretest,,,,,,,,,,0,,,,,,,,,50,100,100,1,50,,1,,,0,,,1,,,,,,,,
51,1,psychic,,37,1,49,41,30,13,45,53,,63,99,51,59,70,87,55,47,,,,1,,1,1,1,1,,1,1,1,50,0,0,0,50,0,0,0
51,0,pretest,,,,,,,,,,0,,,,,,,,,50,100,100,1,50,,1,,,0,,,1,,,,,,,,
22,1,chickens,,49,37,53,1,45,41,13,30,,51,63,47,99,55,59,87,70,,,,1,,1,1,1,1,,1,1,1,50,0,100,0,10,0,75,85
22,0,pretest,,,,,,,,,,0,,,,,,,,,50,100,100,1,50,,1,,,0,,,1,,,,,,,,
5,1,psychic,,30,45,37,1,49,13,53,41,,70,55,63,99,51,87,47,59,,,100,1,50,,1,,,0,,,1,,,,,,,,
5,0,pretest,,,,,,,,,,0,,,,,,,,,50,100,100,1,50,,1,,,0,,,1,,,,,,,,
85,1,chickens,,13,37,45,30,49,53,41,1,,87,63,55,70,51,47,59,99,,,,1,,1,1,1,1,,1,1,1,57,70,84,44,54,53,100,52
85,0,pretest,,,,,,,,,,0,,,,,,,,,50,100,49,1,77,,1,,,49,,,1,,,,,,,,
17,1,chickens,,13,1,49,30,53,41,37,45,,87,99,51,70,47,59,63,55,,,,1,,1,1,1,1,,1,1,1,100,80,65,50,55,51,52,60
17,0,pretest,,,,,,,,,,0,,,,,,,,,50,100,100,1,50,,1,,,0,,,1,,,,,,,,
76,1,chickens,,1,30,53,13,45,41,49,37,,99,70,47,87,55,59,51,63,,,,1,,1,1,1,1,,1,1,1,51,68,45,68,35,62,58,48
76,0,pretest,,,,,,,,,,0,,,,,,,,,50,100,100,1,50,,1,,,0,,,1,,,,,,,,
