participant_index,stimulus_index,stimulus_type,response_time,tails.0,tails.1,tails.2,tails.3,tails.4,tails.5,tails.6,tails.7,X.2,heads.0,heads.1,heads.2,heads.3,heads.4,heads.5,heads.6,heads.7,X.0,X.1,test.1,mod.0,test.0,mod.7,mod.1,mod.4,mod.3,test.2,mod.6,mod.5,mod.2,prob.1,prob.0,prob.3,prob.2,prob.5,prob.4,prob.7,prob.6
25,1,chickens,,49,13,30,37,45,53,1,41,,51,87,70,63,55,47,99,59,,,,1,,1,1,1,1,,1,1,1,100,5,100,100,40,40,50,100
25,0,pretest,,,,,,,,,,0,,,,,,,,,50,100,100,1,50,,1,,,0,,,1,,,,,,,,
47,1,psychic,,53,37,1,13,49,45,41,30,,47,63,99,87,51,55,59,70,,,,1,,1,1,1,1,,1,1,1,30,0,80,95,0,0,50,5
47,0,pretest,,,,,,,,,,0,,,,,,,,,50,100,100,1,50,,1,,,0,,,1,,,,,,,,
7,1,chickens,,45,1,30,53,49,41,13,37,,55,99,70,47,51,59,87,63,,,,1,,1,1,1,1,,1,1,1,80,1,1,10,2,1,20,70
7,0,pretest,,,,,,,,,,0,,,,,,,,,50,100,100,1,50,,1,,,0,,,1,,,,,,,,
106,1,chickens,,37,30,41,1,13,49,45,53,,63,70,59,99,87,51,55,47,,,,1,,1,1,1,1,,1,1,1,47,54,65,52,67,53,77,57
106,0,pretest,,,,,,,,,,0,,,,,,,,,50,100,100,1,50,,1,,,0,,,1,,,,,,,,
39,1,chickens,,49,45,53,1,30,41,13,37,,51,55,47,99,70,59,87,63,,,,1,,1,1,1,1,,1,1,1,20,10,100,35,30,80,70,85
39,0,pretest,,,,,,,,,,0,,,,,,,,,50,100,100,1,50,,1,,,0,,,1,,,,,,,,
64,1,psychic,,37,13,49,1,30,53,45,41,,63,87,51,99,70,47,55,59,,,,1,,1,1,1,1,,1,1,1,2,1,2,0,0,2,0,0
64,0,pretest,,,,,,,,,,0,,,,,,,,,50,100,100,1,50,,1,,,0,,,1,,,,,,,,
82,1,psychic,,53,45,13,1,37,30,49,41,,47,55,87,99,63,70,51,59,,,,1,,1,1,1,1,,1,1,1,52,49,99,81,71,64,59,50
82,0,pretest,,,,,,,,,,0,,,,,,,,,50,100,100,1,50,,1,,,0,,,1,,,,,,,,
65,1,psychic,,30,49,37,1,41,53,45,13,,70,51,63,99,59,47,55,87,,,,0,,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
65,0,pretest,,,,,,,,,,0,,,,,,,,,50,100,0,0,0,,0,,,0,,,0,,,,,,,,
30,1,psychic,,1,30,53,45,13,37,41,49,,99,70,47,55,87,63,59,51,,,,1,,1,1,1,1,,1,1,1,5,65,0,0,0,8,0,0
30,0,pretest,,,,,,,,,,0,,,,,,,,,50,100,100,1,50,,1,,,0,,,1,,,,,,,,
9,1,psychic,,30,13,53,49,45,37,41,1,,70,87,47,51,55,63,59,99,,,,1,,1,1,1,1,,1,1,1,40,25,0,0,5,1,70,3
9,0,pretest,,,,,,,,,,0,,,,,,,,,50,100,100,1,50,,1,,,0,,,1,,,,,,,,
19,1,chickens,,49,37,13,41,45,53,30,1,,51,63,87,59,55,47,70,99,,,,1,,1,1,1,1,,1,1,1,7,0,0,80,0,0,94,75
19,0,pretest,,,,,,,,,,0,,,,,,,,,50,100,100,1,50,,1,,,0,,,1,,,,,,,,
